group,axis1,axis2,axis3,axis4,axis5,axis6,axis7,axis8,axis9,axis10,axis11,axis12,axis13,axis14,axis15,axis16,axis17
1261.cec,0.203,-0.314304,0.046233,-0.106532,0.124629,-0.093101,-0.231269,0.073303,-0.020865,0.018842,0.014927,-0.0032,-0.002755,0.006162,-0.002887,0.000008,0
1266.cec,0.186284,0.148436,-0.103148,-0.084158,-0.198474,0.081951,-0.109835,-0.100768,-0.075439,0.083373,-0.02539,-0.023657,0.028911,-0.01227,0.010059,0.000008,0
1267.cec,-0.065708,-0.357929,-0.461199,0.013037,-0.160805,-0.002933,0.065156,0.059961,-0.009006,-0.037177,0.003933,0.012487,-0.013621,0.000635,-0.0053,0.000008,0
1268.cec,0.07811,0.137377,-0.128572,0.198741,-0.015255,-0.17119,-0.067955,-0.040917,0.163497,-0.00533,-0.009453,-0.006404,0.024342,-0.004703,0.011758,0.000008,0
1269.cec,-0.490942,-0.139772,0.132841,0.031629,-0.002317,-0.007963,0.011893,-0.064443,-0.01957,-0.022124,0.02169,0.008829,0.099254,0.009802,-0.029627,0.000008,0
1270.cec,-0.440178,0.000848,0.201929,-0.000386,-0.089585,-0.132661,0.046536,0.040597,-0.044755,0.049315,0.049708,0.041658,-0.014714,-0.007561,0.037546,0.000008,0
1271.cec,-0.440393,-0.07731,0.161428,0.066962,-0.044343,-0.038922,-0.015437,-0.044417,-0.001202,0.01267,-0.060048,-0.053232,-0.088569,-0.003168,-0.022077,0.000008,0
1272.cec,-0.297878,0.252856,-0.12775,-0.085676,0.078443,0.016406,-0.007632,0.059439,-0.029063,-0.032655,-0.043367,0.036635,0.002436,0.04031,0.006906,0.000009,0
1273.cec,0.067813,0.052949,-0.196947,0.096814,0.186847,0.032333,0.05803,-0.077409,-0.026177,0.120008,0.033668,0.019805,-0.026597,0.028825,-0.007301,0.000008,0
1274.cec,-0.431457,0.174686,-0.139719,-0.178951,0.118063,0.121114,-0.015263,0.016597,0.068285,-0.025426,0.016712,-0.033206,-0.001232,-0.04403,0.005587,0.000008,0
1275.cec,0.105552,-0.159425,0.220299,0.063401,-0.063651,0.258763,0.009438,0.074503,0.108829,0.045249,-0.005253,0.005366,0.004985,0.023432,0.00857,0.000008,0
1276.cec,0.20188,0.246654,0.050392,0.113608,-0.065438,0.067746,-0.063463,0.007456,-0.038602,-0.087193,0.106799,0.006383,-0.037103,-0.003173,-0.015972,0.000008,0
1277.cec,0.159744,-0.190483,0.048518,0.149561,0.127892,0.079966,0.013804,-0.079833,-0.077276,-0.099202,-0.045328,0.006195,0.003893,-0.01787,0.02975,0.000008,0
1314.cec,0.222561,0.243651,0.050508,0.028836,-0.027543,-0.064569,0.044818,0.100899,-0.050409,-0.030586,-0.040753,-0.06337,0.024159,0.029944,-0.001128,0.000008,0
1315.cec,0.31167,-0.056394,0.044041,0.001641,0.072292,-0.05174,0.141828,0.066936,-0.022684,0.055134,0.021086,-0.054801,0.022601,-0.038152,-0.005986,0.000009,0
1316.cec,0.292812,0.12062,0.094246,-0.03955,-0.015146,-0.025832,0.024284,0.025697,0.01116,0.009142,-0.059719,0.105997,-0.006885,-0.035801,-0.023926,0.000008,0
1317.cec,0.33713,-0.08246,0.106902,-0.268975,-0.025607,-0.069368,0.095066,-0.117596,0.0633,-0.053904,0.020789,-0.005488,-0.019107,0.027645,0.004026,0.000008,0