OTU,logMaxMean,LDA,pValue
Otu01099,0.408508,NA,NA
Otu01101,0.114332,NA,NA
Otu01105,0.664089,NA,NA
Otu01109,0.500137,NA,NA
Otu01111,0.847504,NA,NA
Otu01113,0.701163,NA,NA
Otu01115,0,NA,NA
Otu01116,0.472666,NA,NA
Otu01118,0.300855,NA,NA
Otu01120,0,NA,NA
Otu01121,1.03482,NA,NA
Otu01124,0,NA,NA
Otu01125,0.534355,NA,NA
Otu01131,0.664089,NA,NA
Otu01134,0,NA,NA
Otu01137,0.500137,NA,NA
Otu01145,0.491184,NA,NA
Otu01148,0.925282,NA,NA
Otu01150,0.177501,NA,NA
Otu01151,0,NA,NA
Otu01154,0.534355,NA,NA
Otu01155,0.368278,NA,NA
Otu01156,0,NA,NA
Otu01157,0.224452,NA,NA
Otu01158,0.669308,NA,NA
Otu01159,0.514892,NA,NA
Otu01160,0,NA,NA
Otu01162,0.511181,NA,NA
Otu01164,0.408508,NA,NA
Otu01166,0.82341,NA,NA
Otu01167,0.370382,NA,NA
Otu01168,0.535776,NA,NA
Otu01172,0,NA,NA
Otu01174,0.355188,NA,NA
Otu01175,0,NA,NA
Otu01180,1.46986,NA,NA
Otu01183,0.559774,NA,NA
Otu01185,1.01816,NA,NA
Otu01191,0,NA,NA
Otu01194,0.534355,NA,NA
Otu01195,0.417668,NA,NA
Otu01196,0,NA,NA
Otu01197,0.408508,NA,NA
Otu01199,0.500137,NA,NA
Otu01200,0.370382,NA,NA
Otu01203,0,NA,NA
Otu01204,0,NA,NA
Otu01210,0.300855,NA,NA
Otu01211,0.434835,NA,NA
Otu01214,0.486613,NA,NA
Otu01215,0.664089,NA,NA
Otu01217,0.958732,NA,NA
Otu01221,0,NA,NA
Otu01224,0.793015,NA,NA
Otu01225,0.234746,NA,NA
Otu01231,0.500137,NA,NA
Otu01232,0,NA,NA
Otu01233,0,NA,NA
Otu01237,0,NA,NA
Otu01239,0,NA,NA
Otu01240,0.988898,NA,NA
Otu01243,0.258744,NA,NA
Otu01249,0,NA,NA
Otu01250,0.258744,NA,NA
Otu01253,0,NA,NA
Otu01254,0.312516,NA,NA
Otu01262,0.434835,NA,NA
Otu01263,0.835385,NA,NA
Otu01266,0,NA,NA
Otu01268,0,NA,NA
Otu01269,0,NA,NA
Otu01270,0.801167,NA,NA
Otu01273,0.434835,NA,NA
Otu01280,0.511181,NA,NA
Otu01284,0.370382,NA,NA
Otu01288,0.234746,NA,NA
Otu01294,0.927249,NA,NA
Otu01297,0,NA,NA
Otu01300,0,NA,NA
Otu01306,0.933716,NA,NA
Otu01311,0,NA,NA
Otu01313,0.300855,NA,NA
Otu01317,0.767065,NA,NA
Otu01324,1.20645,NA,NA
Otu01327,0,NA,NA
Otu01329,0,NA,NA
Otu01332,0.234746,NA,NA
Otu01333,0,NA,NA
Otu01336,0,NA,NA
Otu01338,0,NA,NA
Otu01340,0.213862,NA,NA
Otu01342,0.559774,NA,NA
Otu01345,0.664089,NA,NA
Otu01347,1.14538,NA,NA
Otu01356,0.370382,NA,NA
Otu01357,0,NA,NA
Otu01361,0.671412,NA,NA
Otu01366,0,NA,NA
Otu01371,0.883857,NA,NA
Otu01372,0.535776,NA,NA
Otu01375,0.234746,NA,NA
Otu01377,0.234746,NA,NA
Otu01381,0,NA,NA
Otu01383,1.01816,NA,NA
Otu01387,0.812211,NA,NA
Otu01389,0.381474,NA,NA
Otu01393,0.534355,NA,NA
Otu01396,0.534355,NA,NA
Otu01399,1.18789,NA,NA
Otu01404,0,NA,NA
Otu01406,0,NA,NA
Otu01414,0,NA,NA
Otu01415,0,NA,NA
Otu01416,0.624252,NA,NA
Otu01425,0,NA,NA
Otu01429,0,NA,NA
Otu01430,0.118932,NA,NA
Otu01433,0.747676,NA,NA
Otu01440,0.258744,NA,NA
Otu01441,1.01816,NA,NA
Otu01442,0.177501,NA,NA
Otu01444,0.801167,NA,NA
Otu01446,0,NA,NA
Otu01450,0.747676,NA,NA
Otu01462,0.274251,NA,NA
Otu01478,0.258744,NA,NA
Otu01481,0.370382,NA,NA
Otu01482,0.550074,NA,NA
Otu01483,0.134916,NA,NA
Otu01493,0.339456,NA,NA
Otu01497,0.958732,NA,NA
Otu01503,0,NA,NA
Otu01508,0,NA,NA
Otu01512,0,NA,NA
Otu01519,0.627181,NA,NA
Otu01520,0.965537,NA,NA
Otu01529,0,NA,NA
Otu01534,0.704055,NA,NA
Otu01535,0.690983,NA,NA
Otu01538,1.08214,NA,NA
Otu01549,0.609216,NA,NA
Otu01550,0,NA,NA
Otu01552,0.63647,NA,NA
Otu01560,0,NA,NA
Otu01561,0.258744,NA,NA
Otu01568,0.258744,NA,NA
Otu01569,1.01121,NA,NA
Otu01571,0.0522948,NA,NA
Otu01574,0.534355,NA,NA
Otu01581,0.709538,NA,NA
Otu01584,0.114332,NA,NA
Otu01586,0.0522948,NA,NA
Otu01588,0,NA,NA
Otu01595,0.511181,NA,NA
Otu01596,0.535776,NA,NA
Otu01600,0.234746,NA,NA
Otu01604,0.216475,NA,NA
Otu01607,0,NA,NA
Otu01609,0.434835,NA,NA
Otu01610,0.659038,NA,NA
Otu01611,1.10775,NA,NA
Otu01613,0.535776,NA,NA
Otu01615,0,NA,NA
Otu01616,0.671412,NA,NA
Otu01622,0.664089,NA,NA
Otu01632,0.0403839,NA,NA
Otu01633,0,NA,NA
Otu01635,0.234746,NA,NA
Otu01636,0.177607,NA,NA
Otu01642,0.938114,NA,NA
Otu01650,0.559774,NA,NA
Otu01651,0,NA,NA
Otu01655,0.0522948,NA,NA
Otu01659,0,NA,NA
Otu01661,0.234746,NA,NA
Otu01667,0.258744,NA,NA
Otu01668,0,NA,NA
Otu01675,0.977258,NA,NA
Otu01678,0.158895,NA,NA
Otu01679,0,NA,NA
Otu01682,0.258744,NA,NA
Otu01683,0,NA,NA
Otu01699,0.550074,NA,NA
Otu01700,0.534355,NA,NA
Otu01715,0,NA,NA
Otu01716,0.364335,NA,NA
Otu01723,0,NA,NA
Otu01724,0.665365,NA,NA
Otu01728,0.434835,NA,NA
Otu01730,0.709538,NA,NA
Otu01734,0,NA,NA
Otu01736,0,NA,NA
Otu01738,0.0522948,NA,NA
Otu01739,0,NA,NA
Otu01740,0,NA,NA
Otu01742,0,NA,NA
Otu01743,0.234746,NA,NA
Otu01744,0.355188,NA,NA
Otu01747,0,NA,NA
Otu01749,0.925282,NA,NA
Otu01750,0,NA,NA
Otu01752,0.805284,NA,NA
Otu01753,0.671412,NA,NA
Otu01754,0,NA,NA
Otu01759,0.368278,NA,NA
Otu01767,0,NA,NA
Otu01769,0.0403839,NA,NA
Otu01777,0.234746,NA,NA
Otu01789,0.258744,NA,NA
Otu01791,0,NA,NA
Otu01796,1.07166,NA,NA
Otu01798,0.300855,NA,NA
Otu01815,0.62303,NA,NA
Otu01817,0.439978,NA,NA
Otu01818,0.534355,NA,NA
Otu01822,0.664089,NA,NA
Otu01823,0,NA,NA
Otu01836,0,NA,NA
Otu01838,0.514892,NA,NA
Otu01844,0.534355,NA,NA
Otu01845,0.525459,NA,NA
Otu01854,0.370382,NA,NA
Otu01862,0,NA,NA
Otu01865,0.559774,NA,NA
Otu01868,0.234746,NA,NA
Otu01870,1.17832,NA,NA
Otu01873,0.550074,NA,NA
Otu01874,0.535776,NA,NA
Otu01877,0.93258,NA,NA
Otu01878,0.511181,NA,NA
Otu01881,0,NA,NA
Otu01883,0.977258,NA,NA
Otu01892,0.408508,NA,NA
Otu01899,0,NA,NA
Otu01908,0.234746,NA,NA
Otu01909,0.434835,NA,NA
Otu01916,0,NA,NA
Otu01917,0,NA,NA
Otu01920,0,NA,NA
Otu01929,0.368278,NA,NA
Otu01933,0.767065,NA,NA
Otu01942,0,NA,NA
Otu01947,0,NA,NA
Otu01949,0.0522948,NA,NA
Otu01952,0,NA,NA
Otu01953,0.0403839,NA,NA
Otu01954,0.213862,NA,NA
Otu01956,0.224452,NA,NA
Otu01965,0,NA,NA
Otu01968,0.624252,NA,NA
Otu01974,0,NA,NA
Otu01975,0,NA,NA
Otu01978,0,NA,NA
Otu01991,0.0522948,NA,NA
Otu01992,0.258744,NA,NA
Otu01993,0,NA,NA
Otu02031,0.327298,NA,NA
Otu02035,0.534355,NA,NA
Otu02038,1.06809,NA,NA
Otu02042,0.258744,NA,NA
Otu02052,0.711867,NA,NA
Otu02058,0.327298,NA,NA
Otu02061,0,NA,NA
Otu02063,0.534355,NA,NA
Otu02077,0.559774,NA,NA
Otu02080,0.213862,NA,NA
Otu02091,0,NA,NA
Otu02093,0,NA,NA
Otu02096,0.339456,NA,NA
Otu02113,0.635892,NA,NA
Otu02114,0.550074,NA,NA
Otu02115,0.213862,NA,NA
Otu02118,0,NA,NA
Otu02123,0,NA,NA
Otu02125,0.559774,NA,NA
Otu02129,0,NA,NA
Otu02143,0.118932,NA,NA
Otu02180,0,NA,NA
Otu02183,0,NA,NA
Otu02189,0,NA,NA
Otu02190,0.0522948,NA,NA
Otu02195,0.0522948,NA,NA
Otu02199,1.01816,NA,NA
Otu02203,1.27583,NA,NA
Otu02204,0,NA,NA
Otu02215,0,NA,NA
Otu02219,0,NA,NA
Otu02228,0,NA,NA
Otu02229,0.370382,NA,NA
Otu02231,0.550074,NA,NA
Otu02234,0.800941,NA,NA
Otu02235,0,NA,NA
Otu02244,0.234746,NA,NA
Otu02245,0.368278,NA,NA
Otu02253,0.234746,NA,NA
Otu02261,0.114332,NA,NA
Otu02262,0,NA,NA
Otu02265,0,NA,NA
Otu02271,0.234746,NA,NA
Otu02275,0.573782,NA,NA
Otu02279,0.370382,NA,NA
Otu02282,0.370382,NA,NA
Otu02291,0.500137,NA,NA
Otu02294,0.0875664,NA,NA
Otu02299,0.514892,NA,NA
Otu02309,1.35895,NA,NA
Otu02313,1.14121,NA,NA
Otu02326,0,NA,NA
Otu02328,0.368278,NA,NA
Otu02333,0.500137,NA,NA
Otu02334,0.624252,NA,NA
Otu02345,0.535776,NA,NA
Otu02347,0.392581,NA,NA
Otu02351,0.234746,NA,NA
Otu02352,0.664089,NA,NA
Otu02357,0.258744,NA,NA
Otu02364,0.767065,NA,NA
Otu02379,0.0403839,NA,NA
Otu02382,0.258744,NA,NA
Otu02393,0.815887,NA,NA
Otu02397,0.0403839,NA,NA
Otu02409,0.624252,NA,NA
Otu02415,0,NA,NA
Otu02435,0,NA,NA
Otu02438,0,NA,NA
Otu02447,0.635892,NA,NA
Otu02449,0.956933,NA,NA
Otu02453,0.213862,NA,NA
Otu02458,0,NA,NA
Otu02461,0,NA,NA
Otu02464,0.511181,NA,NA
Otu02467,0,NA,NA
Otu02472,0,NA,NA
Otu02481,0.234746,NA,NA
Otu02487,0,NA,NA
Otu02488,0.327298,NA,NA
Otu02490,1.01816,NA,NA
Otu02492,0,NA,NA
Otu02509,0.573782,NA,NA
Otu02518,0.529416,NA,NA
Otu02519,0,NA,NA
Otu02526,0.258744,NA,NA
Otu02542,0.258744,NA,NA
Otu02548,0,NA,NA
Otu02560,0.220019,NA,NA
Otu02573,0,NA,NA
Otu02576,0.234746,NA,NA
Otu02578,0.664089,NA,NA
Otu02581,0.368278,NA,NA
Otu02583,0.234746,NA,NA
Otu02588,0.258744,NA,NA
Otu02596,0.936922,NA,NA
Otu02609,0,NA,NA
Otu02612,0,NA,NA
Otu02620,0.550074,NA,NA
Otu02623,0.936922,NA,NA
Otu02624,0.767065,NA,NA
Otu02680,0.300855,NA,NA
Otu02684,0,NA,NA
Otu02685,0.514892,NA,NA
Otu02694,0.370382,NA,NA
Otu02695,0,NA,NA
Otu02713,0.500137,NA,NA
Otu02717,0,NA,NA
Otu02734,0.381474,NA,NA
Otu02739,0,NA,NA
Otu02762,0.216475,NA,NA
Otu02766,0.0403839,NA,NA
Otu02771,0.624252,NA,NA
Otu02786,0.767065,NA,NA
Otu02789,0.234746,NA,NA
Otu02803,0,NA,NA
Otu02804,0.635892,NA,NA
Otu02819,0,NA,NA
Otu02823,0.698057,NA,NA
Otu02827,1.31919,NA,NA
Otu02857,0,NA,NA
Otu02893,0.635892,NA,NA
Otu02899,0.500137,NA,NA
Otu02908,0.90163,NA,NA
Otu02911,0,NA,NA
Otu02934,0,NA,NA
Otu02942,0.767065,NA,NA
Otu02954,0.213862,NA,NA
Otu02961,0,NA,NA
Otu02965,0.635892,NA,NA
Otu02966,0.550074,NA,NA
Otu02967,0.675032,NA,NA
Otu02975,0,NA,NA
Otu02977,0.534355,NA,NA
Otu02980,0.550074,NA,NA
Otu02992,0,NA,NA
Otu03007,0.408508,NA,NA
Otu03012,0.368278,NA,NA
Otu03031,0,NA,NA
Otu03045,0.258744,NA,NA
Otu03104,0.234746,NA,NA
Otu03148,0.370382,NA,NA
Otu03152,0.353325,NA,NA
Otu03164,0.835385,NA,NA
Otu03171,0.258744,NA,NA
Otu03192,0.511181,NA,NA
Otu03209,0.747676,NA,NA
Otu03230,0.628328,NA,NA
Otu03241,0.234746,NA,NA
Otu03250,0.624252,NA,NA
Otu03255,0,NA,NA
Otu03261,0,NA,NA
Otu03263,0.368278,NA,NA
Otu03273,0,NA,NA
Otu03283,0.500137,NA,NA
Otu03290,0.0403839,NA,NA
Otu03308,0.234746,NA,NA
Otu03322,0,NA,NA
Otu03330,0,NA,NA
Otu03337,0,NA,NA
Otu03342,0.434835,NA,NA
Otu03344,0.835385,NA,NA
Otu03349,0,NA,NA
Otu03357,0.742609,NA,NA
Otu03364,0,NA,NA
Otu03383,0.511181,NA,NA
Otu03393,0,NA,NA
Otu03396,0.234746,NA,NA
Otu03401,0.511181,NA,NA
Otu03428,0.408508,NA,NA
Otu03433,0.656684,NA,NA
Otu03435,0,NA,NA
Otu03468,0.370382,NA,NA
Otu03501,0.353325,NA,NA
Otu03508,0.534355,NA,NA
Otu03524,0,NA,NA
Otu03528,0.0875664,NA,NA
Otu03529,0.500137,NA,NA
Otu03535,0.534355,NA,NA
Otu03558,0,NA,NA
Otu03560,0,NA,NA
Otu03568,0.500137,NA,NA
Otu03569,0.812211,NA,NA
Otu03571,0,NA,NA
Otu03575,0.408508,NA,NA
Otu03582,0,NA,NA
Otu03590,0.535776,NA,NA
Otu03602,0.936922,NA,NA
Otu03609,0.559774,NA,NA
Otu03629,0.664089,NA,NA
Otu03637,0.925282,NA,NA
Otu03645,0.408508,NA,NA
Otu03649,0.624252,NA,NA
Otu03661,0.300855,NA,NA
Otu03664,0.835385,NA,NA
Otu03674,0.258744,NA,NA
Otu03697,0.559774,NA,NA
Otu03719,0.534355,NA,NA
Otu03732,0,NA,NA
Otu03735,0,NA,NA
Otu03740,0.0522948,NA,NA
Otu03764,0.573782,NA,NA
Otu03766,0.936922,NA,NA
Otu03805,0.408508,NA,NA
Otu03814,0.851104,NA,NA
Otu03828,0.500137,NA,NA
Otu03859,0.234746,NA,NA
Otu03916,0.624252,NA,NA
Otu03929,0.514892,NA,NA
Otu03937,0.624252,NA,NA
Otu03957,0.550074,NA,NA
Otu03958,0,NA,NA
Otu04004,0.370382,NA,NA
Otu04008,0.550074,NA,NA
Otu04031,0.559774,NA,NA
Otu04044,0,NA,NA
Otu04051,0.635892,NA,NA
Otu04061,0.368278,NA,NA
Otu04063,0.370382,NA,NA
Otu04095,0.0403839,NA,NA
Otu04097,0.234746,NA,NA
Otu04115,0.258744,NA,NA
Otu04134,0.0522948,NA,NA
Otu04137,0.534355,NA,NA
Otu04148,0.213862,NA,NA
Otu04149,0.300855,NA,NA
Otu04157,0,NA,NA
Otu04210,0.624252,NA,NA
Otu04217,0,NA,NA
Otu04221,0.0403839,NA,NA
Otu04224,0.767065,NA,NA
Otu04230,0,NA,NA
Otu04235,0,NA,NA
Otu04269,0,NA,NA
Otu04272,0.664089,NA,NA
Otu04283,0.534355,NA,NA
Otu04291,0,NA,NA
Otu04325,0.0403839,NA,NA
Otu04347,0,NA,NA
Otu04353,0,NA,NA
Otu04354,0,NA,NA
Otu04358,0.511181,NA,NA
Otu04359,0.300855,NA,NA
Otu04428,0,NA,NA
Otu04454,0.559774,NA,NA
Otu04504,0.511181,NA,NA
Otu04550,0.258744,NA,NA
Otu04551,0,NA,NA
Otu04554,0.559774,NA,NA
Otu04583,0.767065,NA,NA
Otu04590,0,NA,NA
Otu04591,0,NA,NA
Otu04602,0.0875664,NA,NA
Otu04636,0.709538,NA,NA
Otu04639,0.177501,NA,NA
Otu04673,0.534355,NA,NA
Otu04713,0.550074,NA,NA
Otu04719,0.434835,NA,NA
Otu04721,0.0403839,NA,NA
Otu04724,0.0875664,NA,NA
Otu04739,0.0403839,NA,NA
Otu04744,0.370382,NA,NA
Otu04776,0.258744,NA,NA
Otu04810,0.213862,NA,NA
Otu04820,0.234746,NA,NA
Otu04838,0.434835,NA,NA
Otu04866,0.434835,NA,NA
Otu04873,0.258744,NA,NA
Otu04884,0.812211,NA,NA
Otu04894,0.965119,NA,NA
Otu04915,0,NA,NA
Otu04924,0.368278,NA,NA
Otu04925,1.04871,NA,NA
Otu04931,0.258744,NA,NA
Otu04939,0,NA,NA
Otu04949,0.186324,NA,NA
Otu04950,0.0403839,NA,NA
Otu04956,0.835385,NA,NA
Otu04976,0,NA,NA
Otu05016,0,NA,NA
Otu05021,0.234746,NA,NA
Otu05029,0.434835,NA,NA
Otu05033,0,NA,NA
Otu05043,0.851104,NA,NA
Otu05070,0,NA,NA
Otu05082,0.550074,NA,NA
Otu05086,0.370382,NA,NA
Otu05092,0.0522948,NA,NA
Otu05107,0.434835,NA,NA
Otu05111,0.550074,NA,NA
Otu05130,0,NA,NA
Otu05149,0,NA,NA
Otu05150,0.535776,NA,NA
Otu05197,0.0875664,NA,NA
Otu05205,0.300855,NA,NA
Otu05225,0,NA,NA
Otu05228,0.687777,NA,NA
Otu05245,0.434835,NA,NA
Otu05270,0.851104,NA,NA
Otu05328,0,NA,NA
Otu05333,0,NA,NA
Otu05334,0.434835,NA,NA
Otu05346,0.0522948,NA,NA
Otu05369,0.434835,NA,NA
Otu05371,0.0522948,NA,NA
Otu05372,0.434835,NA,NA
Otu05387,0.434835,NA,NA
Otu05395,0.258744,NA,NA
Otu05420,0.434835,NA,NA
Otu05423,0.158895,NA,NA
Otu05424,0.0403839,NA,NA
Otu05429,0,NA,NA
Otu05492,0.234746,NA,NA
Otu05505,0.234746,NA,NA
Otu05515,0.300855,NA,NA
Otu05519,1.01816,NA,NA
Otu05557,0.368278,NA,NA
Otu05565,0.709538,NA,NA
Otu05566,0.767065,NA,NA
Otu05586,0.0403839,NA,NA
Otu05626,0,NA,NA
Otu05650,0.177501,NA,NA
Otu05658,0.370382,NA,NA
Otu05665,0,NA,NA
Otu05666,0.370382,NA,NA
Otu05667,0.234746,NA,NA
Otu05678,0.583243,NA,NA
Otu05717,0,NA,NA
Otu05765,0.511181,NA,NA
Otu05783,0.635892,NA,NA
Otu05795,0,NA,NA
Otu05813,0,NA,NA
Otu05818,0.434835,NA,NA
Otu05831,0.550074,NA,NA
Otu05860,0.550074,NA,NA
Otu05862,0.600159,NA,NA
Otu05863,0.234746,NA,NA
Otu05901,0.767065,NA,NA
Otu05915,0.925282,NA,NA
Otu05964,0,NA,NA
Otu05982,0.258744,NA,NA
Otu06044,0.0522948,NA,NA
Otu06058,0,NA,NA
Otu06061,0.258744,NA,NA
Otu06078,0.234746,NA,NA
Otu06090,0,NA,NA
Otu06134,0,NA,NA
Otu06208,0,NA,NA
Otu06240,0.573782,NA,NA
Otu06276,0.550074,NA,NA
Otu06289,0.767065,NA,NA
Otu06302,0.573782,NA,NA
Otu06309,0.258744,NA,NA
Otu06318,0.300855,NA,NA
Otu06333,0.258744,NA,NA
Otu06370,0.258744,NA,NA
Otu06373,0.408508,NA,NA
Otu06446,0,NA,NA
Otu06464,0.258744,NA,NA
Otu06467,0,NA,NA
Otu06487,0,NA,NA
Otu06544,0,NA,NA
Otu06589,0.535776,NA,NA
Otu06611,0,NA,NA
Otu06626,0.258744,NA,NA
Otu06630,0.364335,NA,NA
Otu06634,0,NA,NA
Otu06665,0.234746,NA,NA
Otu06671,0.258744,NA,NA
Otu06674,0.258744,NA,NA
Otu06677,0,NA,NA
Otu06739,0,NA,NA
Otu06742,0,NA,NA
Otu06753,0,NA,NA
Otu06758,0,NA,NA
Otu06769,0,NA,NA
Otu06772,0,NA,NA
Otu06773,0.258744,NA,NA
Otu06781,0.664089,NA,NA
Otu06787,0.258744,NA,NA
Otu06793,0.258744,NA,NA
Otu06804,0.573782,NA,NA
Otu06815,0.664089,NA,NA
Otu06837,0,NA,NA
Otu06848,0.801167,NA,NA
Otu06962,0.851104,NA,NA
Otu06971,0.370382,NA,NA
Otu06973,0,NA,NA
Otu07022,0.370382,NA,NA
Otu07032,0.258744,NA,NA
Otu07137,0,NA,NA
Otu07154,0,NA,NA
Otu07187,0.0403839,NA,NA
Otu07191,0.300855,NA,NA
Otu07203,0.258744,NA,NA
Otu07251,1.01816,NA,NA
Otu07317,0,NA,NA
Otu07329,0.635892,NA,NA
Otu07335,0,NA,NA
Otu07353,0.408508,NA,NA
Otu07368,0.224452,NA,NA
Otu07383,0,NA,NA
Otu07396,0,NA,NA
Otu07400,0.353325,NA,NA
Otu07429,0.234746,NA,NA
Otu07440,0.258744,NA,NA
Otu07453,0.624252,NA,NA
Otu07457,0.624252,NA,NA
Otu07511,0,NA,NA
Otu07545,0.601885,NA,NA
Otu07547,0.874812,NA,NA
Otu07647,0.0522948,NA,NA
Otu07656,0,NA,NA
Otu07665,0.535776,NA,NA
Otu07689,0.258744,NA,NA
Otu07707,0.511181,NA,NA
Otu07711,0.0403839,NA,NA
Otu07719,0.767065,NA,NA
Otu07720,0.158895,NA,NA
Otu07764,0.573782,NA,NA
Otu07778,0.258744,NA,NA
Otu07821,0.258744,NA,NA
Otu07824,0,NA,NA
Otu07866,0.258744,NA,NA
Otu07874,0.224452,NA,NA
Otu07926,0.258744,NA,NA
Otu07933,0.258744,NA,NA
Otu07940,0.234746,NA,NA
Otu07943,0.234746,NA,NA
Otu07946,0,NA,NA
Otu08015,0.635892,NA,NA
Otu08371,0.158895,NA,NA
Otu08403,0.234746,NA,NA
Otu08416,0,NA,NA
Otu08455,0,NA,NA
Otu08740,0,NA,NA
Otu08928,0.635892,NA,NA
Otu09058,0.534355,NA,NA
Otu09229,0.234746,NA,NA
Otu09253,0,NA,NA
Otu09749,0.408508,NA,NA
Otu09754,0.368278,NA,NA
Otu09814,0.573782,NA,NA
Otu09826,0.573782,NA,NA
Otu09859,0.370382,NA,NA
Otu09899,0.408508,NA,NA
Otu09902,0.573782,NA,NA
Otu09909,0.624252,NA,NA
Otu10016,0,NA,NA
Otu10026,0,NA,NA
Otu10071,0,NA,NA
Otu10140,0,NA,NA
Otu10152,0.300855,NA,NA
Otu10191,0,NA,NA
Otu10217,0,NA,NA
Otu10284,0,NA,NA
Otu10313,0.364335,NA,NA
Otu10321,0,NA,NA
Otu10348,0.0522948,NA,NA
Otu10380,0,NA,NA
Otu10389,0,NA,NA
Otu10390,0,NA,NA
Otu10396,0.0522948,NA,NA
Otu10397,0,NA,NA
Otu10399,0,NA,NA
Otu10400,0,NA,NA
Otu10408,0,NA,NA
Otu10422,0,NA,NA
Otu10423,0,NA,NA
Otu10427,0.234746,NA,NA
Otu10440,0,NA,NA
Otu10455,0,NA,NA
Otu10470,0,NA,NA
Otu10471,0,NA,NA
Otu10473,0,NA,NA
Otu10481,0.234746,NA,NA
Otu10482,0,NA,NA
Otu10494,0,NA,NA
Otu10500,0,NA,NA
Otu10567,0,NA,NA
Otu10575,0,NA,NA
Otu10581,0,NA,NA
Otu10623,0.0522948,NA,NA
Otu10627,0.234746,NA,NA
Otu10629,0,NA,NA
Otu10631,0,NA,NA
Otu10633,0,NA,NA
Otu10638,0,NA,NA
Otu10643,0,NA,NA
Otu10648,0,NA,NA
Otu10652,0,NA,NA
Otu10662,0,NA,NA
Otu10667,0,NA,NA
Otu10675,0,NA,NA
Otu10677,0,NA,NA
Otu10678,0,NA,NA
Otu10683,0,NA,NA
Otu10706,0,NA,NA
Otu10715,0,NA,NA
Otu10727,0,NA,NA
Otu10729,0,NA,NA
Otu10746,0,NA,NA
Otu10749,0,NA,NA
Otu10755,0,NA,NA
Otu10760,0,NA,NA
Otu10764,0,NA,NA
Otu10770,0,NA,NA
Otu10776,0,NA,NA
Otu10785,0,NA,NA
Otu10791,0,NA,NA
Otu10794,0,NA,NA
Otu10799,0.500137,NA,NA
Otu10801,0.0522948,NA,NA
Otu10806,0,NA,NA
Otu10811,0,NA,NA
Otu10824,0,NA,NA
Otu10837,0.500137,NA,NA
Otu10847,0,NA,NA
Otu11356,0,NA,NA
Otu11360,0,NA,NA
Otu11425,0,NA,NA
Otu11443,0,NA,NA
Otu11472,0.234746,NA,NA
Otu11489,0,NA,NA
Otu11569,0.300855,NA,NA
Otu11615,0.0522948,NA,NA
Otu11620,0.500137,NA,NA
Otu11700,0.624252,NA,NA
Otu11725,0,NA,NA
Otu11735,0.300855,NA,NA
Otu11739,0.511181,NA,NA
Otu11793,0,NA,NA
Otu11800,0.234746,NA,NA
Otu11802,0,NA,NA
Otu11830,0.550074,NA,NA
Otu11875,0,NA,NA
Otu11885,0,NA,NA
Otu11899,0,NA,NA
Otu11947,0.534355,NA,NA
Otu11950,0.534355,NA,NA
Otu11982,0.213862,NA,NA
Otu12035,0.370382,NA,NA
Otu12055,0.408508,NA,NA
Otu12133,0.767065,NA,NA
Otu12215,0.370382,NA,NA
Otu12225,0,NA,NA
Otu12233,0,NA,NA
Otu12280,0.767065,NA,NA
Otu12283,0,NA,NA
Otu12308,0,NA,NA
Otu12332,0,NA,NA
Otu12355,0.0522948,NA,NA
Otu12368,0.534355,NA,NA
Otu12418,0.0522948,NA,NA
Otu12422,0.500137,NA,NA
Otu12437,0,NA,NA
Otu12511,0.511181,NA,NA
Otu12526,0,NA,NA
Otu12609,0.500137,NA,NA
Otu12629,0,NA,NA
Otu12665,0.511181,NA,NA
Otu12838,0.368278,NA,NA
Otu12854,0.511181,NA,NA
Otu12862,0.368278,NA,NA
Otu12898,0.511181,NA,NA
Otu12943,0,NA,NA
Otu12975,0.767065,NA,NA
Otu13027,0.0522948,NA,NA
Otu13057,0,NA,NA
Otu13061,0.550074,NA,NA
Otu13090,0,NA,NA
Otu13105,0,NA,NA
Otu13107,0,NA,NA
Otu13131,0.664089,NA,NA